Crops,Time,Cities
Cana-de-açúcar,Plantio ao longo do ano,Piracicaba, Ribeirão Preto, Sertãozinho
Milho,Plantio na primavera,Ribeirão Preto, Bauru, Sorocaba
Soja,Plantio na primavera,Ribeirão Preto, São Carlos, Ourinhos
Café,Plantio na primavera,Jaú, Botucatu, Franca
Laranja,Plantio na primavera,Limeira, Sorocaba, Bauru
Algodão,Plantio na primavera,Presidente Prudente, Marília, Assis
Feijão,Plantio na primavera,Campinas, Araraquara, Ribeirão Preto
Batata,Plantio na primavera,Itapetininga, Campinas, Piracicaba
Tomate,Plantio na primavera,Campinas, Sorocaba, São José do Rio Preto
Mandioca,Plantio na primavera,Presidente Prudente, Assis, Dracena
Banana,Plantio ao longo do ano,Itapetininga, Campinas, Sorocaba
Uva,Plantio na primavera,Jundiaí, São Roque, Itatiba
Trigo,Plantio no outono,Itapetininga, Sorocaba, Campinas
Arroz,Plantio na primavera,Ourinhos, Assis, Presidente Prudente
Cebola,Plantio no outono,Itapetininga, Campinas, Sorocaba
Maçã,Plantio na primavera,Jundiaí, São Roque, Itatiba
Cacau,Plantio na primavera,Ibiúna, Piedade, Itararé
Mamão,Plantio ao longo do ano,Bauru, Campinas, Sorocaba
Abacaxi,Plantio na primavera,Itapetininga, Campinas, Sorocaba
Manga,Plantio na primavera,Itapetininga, Campinas, Sorocaba
